,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
10,2010 lexus is250c convertible,14950,2010.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2010-lexus-is250c/7787904942.html,lexus,15.0,9.612466578818832,2.70805020110221,title,2010,good, 6 cylinders,rwd,gas,74150,grey,automatic,convertible,Get this great garage kept convertible just in time to watch the beautiful fall colors with the top down. Let me know if you have any questions
11,2010 chevy malibu 4-door (pending),800,2010.0,https://charlottesville.craigslist.org/cto/d/palmyra-2010-chevy-malibu-door-pending/7787579204.html,chevy,15.0,6.684611727667927,2.70805020110221,title,2010,good, 4 cylinders,fwd,gas,120000,missing,automatic,sedan,2LT model. six-speed automatic with paddle shiftersTransmission slipping badly. May need to be towed. Passed inspection last December. Has been a great running car. Starts always. Body is very good. Some scrapes on the plastic. CD player still works but a speaker cuts out.
12,bmw x5,8500,,https://charlottesville.craigslist.org/cto/d/waynesboro-bmw-x5/7787579073.html,bmw,,9.047821442478408,,title,2013,excellent, 6 cylinders,4wd,gas,120000,black,automatic,SUV,"2013 BMW X5, 3.0 in line 6 cylinder with twin turbos.All wheel drive, Saddle leather interior, Factory running boards, Fully retractable glass sunroof over front and rear seats, State inspection in July of this year, power everything, heated seats front and rear, AM FM, satellite radio, CD player. Very quick and nimble vehicle. Very comfortable and fun to drive.120,000 miles."
13,bmw z3,5900,,https://charlottesville.craigslist.org/cto/d/staunton-bmw-z3/7787567192.html,bmw,,8.68270762989381,,title,1998,good, 6 cylinders,rwd,gas,143500,white,manual,convertible,"1998 Z3 2.8 6 cylinder, 5 speed manual trans, new top is 3 weeks old"
14,1998 toyota camery,1500,1998.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1998-toyota-camery/7787566957.html,toyota,27.0,7.313220387090301,3.295836866004329,title,1998,fair,missing,missing,gas,229171,missing,automatic,sedan,"1998 Toyota Camery for sale. Car runs really well but definitely needs some cosmetic work. Great first car. The owner recently put about $2,000 worth of work into the car but had to move away for school. Wouldn’t be selling otherwise."
15,2010 e550 mercedes sedan,7650,2010.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2010-e550-mercedes-sedan/7787286459.html,missing,15.0,8.942460926820582,2.70805020110221,title,2010,excellent, 8 cylinders,4wd,gas,179117,black,automatic,sedan,"Luxury Sedan sport, or comfort mode. Panoramic sunroof, 5.5 liter V-8, 382 hp, two owners, meticulous repair records including recent scheduled maintenance, highway miles. Aways garaged, no accidents."
16,dodge 4x4,3700,,https://charlottesville.craigslist.org/cto/d/banco-dodge-4x4/7787130319.html,dodge,,8.216088098632316,,title,1999,missing,missing,missing,gas,225000,missing,automatic,missing,1999 dodge ram 1500 4x4 automatic 5.2 litre engine.  Runs good. Call or text  show contact info
17,affordable car works well,1950,,https://charlottesville.craigslist.org/cto/d/scottsville-affordable-car-works-well/7786935849.html,missing,,7.575584651557793,,title,2009,fair, 4 cylinders,fwd,gas,309000,grey,manual,hatchback,"For Sale: 2009 Toyota MatrixLooking for an affordable and reliable vehicle? Check out this 2009 Toyota Matrix. Despite its high mileage of 309,000, this car is still driven daily and runs smoothly without any known mechanical issues.Recent maintenance and updates include:- New brakes (front and rear) for assured stopping power.- Brand new OEM catalytic converter.- Fresh tune-up with new ignition coils and spark plugs.- New water pump installed to keep the engine cool and running efficiently.The exterior has a few minor dents that don't affect performance, but overall, it's in good condition for its age. If you're in need of a dependable ride that’s been well-maintained, this Matrix could be the perfect fit. Don’t miss out on this great deal!This message has been generated by Nova - download it for free:https://novaappai.page.link/8vxJEMNj62k7k1vH9"
18,2007 mercedes benz c280 or 2005 benz e500 4matic $3950,4950,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-mercedes-benz-c280-or-2005/7786722300.html,missing,18.0,8.507142855562735,2.8903717578961645,title,2007,missing, 6 cylinders,rwd,gas,153000,missing,automatic,sedan,"2007 Mercedes Benz C280 $4950150K miles V6 3.0L automatic, RWD. Color is Pewter.the mileage will go up as our daily driver.  It runs great. 33+mpg.The check engine light is ON and it has been like this for a few years.The code is P0016/17 for the cam position. It does not affect the performance. Still runs smoothly and strongly.New rear shocks, front strut, transmission fluid, gasket, and the filter.Leather, power seat, moonroof.All power works properly.Please call if you are interested 8O4-25O-I399.WDBRF54H37A927337OR 2005 Mercedes Benz E500 4Matic AWD $3950It had a minor front-end accident more than a year ago. Clean title. I fixed it myself and It may need professionally alignment on the front bumper and the hood (see picture). No warning light. It runs great. Use for commuting from Blacksburg to RVA. 197K 5.0L V8. 5 Speed Automatic 4WD.Navigation, Harman Kardon premium sound.  Fully loaded. Everything works properly. 4 new tires (2500 miles), and transmission fluid, gasket and filter (3000 miles). New front air suspensions with life-time warranty (parts).  WDBUF83J05X183349"
19,2005 nissan maxima se,3500,2005.0,https://charlottesville.craigslist.org/cto/d/dillwyn-2005-nissan-maxima-se/7786586063.html,missing,20.0,8.160518247477505,2.995732273553991,title,2005,missing,missing,missing,gas,163000,grey,automatic,sedan,"One Owner 2005 Nissan Maxima Se with clean title and 163,000miles. Well maintained and loved by previous owner but sold due to health issues. He definitely put alot in this car to keep it running and looking good over the years. Including rims,paint,tinted windows and touch screen stereo. Great condition inside and out. Located in Dillwyn Virginia. Call or txt FOUR THREE FOUR THREE NINE FOUR FOUR FIVE FOUR EIGHT for more info."
20,2012 subaru impreza 2.0i premium sedan 4d,7400,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-subaru-impreza-20i/7786582182.html,subaru,13.0,8.909235279192261,2.5649493574615367,title,2012,excellent,missing,missing,gas,110794,missing,automatic,sedan,"2012 Subaru Impreza 2.0i Premium Sedan 4DColor: GrayTransmission: AutomaticMiles: 110794Just done this past week: - Rear Brakes- Replaced bulbs- Oil ChangeInspection passed on 9/19/2024. Tires replaced in August 2023. Car always carefully maintained.Few minor scratches around the car and one dent on the front bumper, left side. The car is otherwise in excellent condition. Only one set of car keys.Overall, a great, safe car. So, why sell it? We just bought an electric car, and we do not need the Impreza any longer.Price: $7400.Happy to send the VIN along if you wish to check the car on Carfax."
21,2008 chevrolet silverado,6000,2008.0,https://charlottesville.craigslist.org/cto/d/stuarts-draft-2008-chevrolet-silverado/7786493479.html,chevrolet,17.0,8.699514748210191,2.833213344056216,title,2008,good, other,4wd,gas,220,brown,automatic,pickup,2008 Silverado 220k miles in great shape! New battery and new tires.  No trades
22,2012 honda civic lx,5900,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-honda-civic-lx/7786413068.html,honda,13.0,8.68270762989381,2.5649493574615367,title,2012,excellent, 4 cylinders,missing,gas,209500,missing,automatic,sedan,"Still available! Must call if interested. Do not text or email! 8O4-925-88O8.It has 209K miles. Automatic transmission. Cruise control, power door locks, windows.No known problems. State inspection 9/25. New transmission Fluid, fresh oil change, and cabin filter. 2HGFB2F5XCH504091"
23,f-350 6.0 diesel service body,13000,,https://charlottesville.craigslist.org/cto/d/charlottesville-diesel-service-body/7786360711.html,missing,,9.472704636443673,,title,2006,good, 8 cylinders,4wd,diesel,148000,white,automatic,pickup,2006 F-350 Bullet Proofed 6.0 Diesel Loads of other work put into the truck. I have receipts from all the work done. Have kept it fully maintained and is work ready. I drive it daily. New Michelin tires on it.Only serious buyers please. I have a full work schedule and don’t want to waste time showing it. Please email Serious inquiries only please
24,2007 honda element ex,8500,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-honda-element-ex/7786323697.html,honda,18.0,9.047821442478408,2.8903717578961645,title,2007,excellent, 4 cylinders,fwd,gas,147000,missing,automatic,SUV,"Still available! Must call in interested! 8O4-4IO-3535147K miles 2.4L FWD. Excellent conditions, No known problem. Power door locks and cruise control, all work as they should.5J6YH18737L008356"
25,85 short bed chevy,10,,https://charlottesville.craigslist.org/cto/d/earlysville-85-short-bed-chevy/7786302799.html,chevy,,2.302585092994046,,title,1985,good, 8 cylinders,rwd,gas,89400,red,automatic,pickup,"85 short bed chevy pick up Lowered w/ 355 hydraulic roller motor373 gear 3500 stall Runs drives no issues solid truck needs few minor rust areas fixed and a dash pad Asking 10,000$ OBO cash Title is clean in handshow contact info text or call Serious inquiries only"
26,2004 audi a6 2.7t s-line quatro sedan 4d,1200,2004.0,https://charlottesville.craigslist.org/cto/d/scottsville-2004-audi-a6-27t-line/7786238457.html,audi,21.0,7.090076835776092,3.044522437723423,title,2004,good, 6 cylinders,4wd,gas,167000,blue,automatic,sedan,Good clean car bad transmission sensor causing it to be in limp mode car does not have a key have clean title car sold as-is
